"","ko","pathway","description","log2FoldChange","padj","Factor"
"1","ko:K01596","path:ko00010","Glycolysis / Gluconeogenesis",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"2","ko:K01681","path:ko00020","Citrate cycle (TCA cycle)",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"3","ko:K01596","path:ko00020","Citrate cycle (TCA cycle)",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"4","ko:K13758","path:ko00230","Purine metabolism",1.49314137502884,0.0418056666136702,"Vibrio_Vibrio_vs_Control"
"5","ko:K00643","path:ko00260","Glycine, serine and threonine metabolism",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"6","ko:K01251","path:ko00270","Cysteine and methionine metabolism",2.12686680211553,0.000425583851052341,"Vibrio_Vibrio_vs_Control"
"7","ko:K01206","path:ko00511","Other glycan degradation",3.4670371460073,1.16181037832103e-06,"Vibrio_Vibrio_vs_Control"
"8","ko:K01596","path:ko00620","Pyruvate metabolism",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"9","ko:K01681","path:ko00630","Glyoxylate and dicarboxylate metabolism",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"10","ko:K01681","path:ko00720","Carbon fixation pathways in prokaryotes",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
"11","ko:K00643","path:ko00860","Porphyrin and chlorophyll metabolism",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"12","ko:K00643","path:ko01100","Metabolic pathways",1.44242404295307,2.3665358730255e-05,"Vibrio_Vibrio_vs_Control"
"13","ko:K01251","path:ko01100","Metabolic pathways",2.12686680211553,0.000425583851052341,"Vibrio_Vibrio_vs_Control"
"14","ko:K01596","path:ko01100","Metabolic pathways",3.06404426736415,1.81081559238214e-29,"Vibrio_Vibrio_vs_Control"
"15","ko:K01681","path:ko01100","Metabolic pathways",1.37376801003683,0.0042649464414746,"Vibrio_Vibrio_vs_Control"
